fold,fold_count,inst,count,proportion
5,1325,Violin,16,0.012075471698113207
5,1325,VoiceOohs,13,0.00981132075471698
5,1325,Xylophone,11,0.00830188679245283
6,1325,AcousticBass,18,0.013584905660377358
6,1325,AcousticGrandPiano,10,0.007547169811320755
6,1325,AcousticGuitar(nylon),13,0.00981132075471698
6,1325,AcousticGuitar(steel),21,0.015849056603773583
6,1325,AltoSax,11,0.00830188679245283
6,1325,Bagpipe,12,0.009056603773584904
6,1325,Banjo,20,0.01509433962264151
6,1325,BaritoneSax,12,0.009056603773584904
6,1325,Bassoon,21,0.015849056603773583
6,1325,BlownBottle,13,0.00981132075471698
6,1325,BrassSection,10,0.007547169811320755
6,1325,BrightAcousticPiano,13,0.00981132075471698
6,1325,Cello,18,0.013584905660377358
6,1325,ChoirAahs,14,0.010566037735849056
6,1325,ChurchOrgan,19,0.014339622641509434
6,1325,Clarinet,19,0.014339622641509434
6,1325,Clavinet,13,0.00981132075471698
6,1325,Contrabass,17,0.012830188679245283
6,1325,DistortionGuitar,17,0.012830188679245283
6,1325,DrawbarOrgan,17,0.012830188679245283
6,1325,Dulcimer,11,0.00830188679245283
6,1325,ElectricBass(finger),12,0.009056603773584904
6,1325,ElectricBass(pick),9,0.006792452830188679
6,1325,ElectricGrandPiano,19,0.014339622641509434
6,1325,ElectricGuitar(clean),17,0.012830188679245283
6,1325,ElectricGuitar(jazz),21,0.015849056603773583
6,1325,ElectricGuitar(muted),11,0.00830188679245283
6,1325,ElectricPiano1,15,0.011320754716981131
6,1325,ElectricPiano2,15,0.011320754716981131
6,1325,EnglishHorn,14,0.010566037735849056
6,1325,Fiddle,10,0.007547169811320755
6,1325,Flute,19,0.014339622641509434
6,1325,FrenchHorn,18,0.013584905660377358
6,1325,FretlessBass,12,0.009056603773584904
6,1325,Harpsichord,15,0.011320754716981131
6,1325,Honky-tonkPiano,17,0.012830188679245283
6,1325,Kalimba,13,0.00981132075471698
6,1325,Koto,10,0.007547169811320755
6,1325,Lead1(square),11,0.00830188679245283
6,1325,Lead2(sawtooth),12,0.009056603773584904
6,1325,Lead3(calliope),24,0.01811320754716981
6,1325,Lead4(chiff),12,0.009056603773584904
6,1325,Lead5(charang),18,0.013584905660377358
6,1325,Lead6(voice),15,0.011320754716981131
6,1325,Lead8(bass+lead),19,0.014339622641509434
6,1325,Marimba,16,0.012075471698113207
6,1325,MusicBox,13,0.00981132075471698
6,1325,MutedTrumpet,14,0.010566037735849056
6,1325,Oboe,11,0.00830188679245283
6,1325,Ocarina,13,0.00981132075471698
6,1325,OrchestralHarp,16,0.012075471698113207
6,1325,OverdrivenGuitar,17,0.012830188679245283
6,1325,Pad1(newage),10,0.007547169811320755
6,1325,Pad2(warm),14,0.010566037735849056
6,1325,Pad3(polysynth),8,0.0060377358490566035
6,1325,Pad4(choir),15,0.011320754716981131
6,1325,Pad5(bowed),13,0.00981132075471698
6,1325,Pad6(metallic),22,0.01660377358490566
6,1325,Pad7(halo),15,0.011320754716981131
6,1325,Pad8(sweep),14,0.010566037735849056
6,1325,PanFlute,13,0.00981132075471698
6,1325,PercussiveOrgan,11,0.00830188679245283
6,1325,Piccolo,13,0.00981132075471698
6,1325,PizzicatoStrings,13,0.00981132075471698
6,1325,Recorder,11,0.00830188679245283
6,1325,ReedOrgan,14,0.010566037735849056
6,1325,RockOrgan,13,0.00981132075471698
6,1325,Shamisen,21,0.015849056603773583
6,1325,Shanai,10,0.007547169811320755
6,1325,Sitar,8,0.0060377358490566035
6,1325,SlapBass1,19,0.014339622641509434
6,1325,SlapBass2,17,0.012830188679245283
6,1325,SopranoSax,11,0.00830188679245283
6,1325,StringEnsemble1,9,0.006792452830188679
6,1325,StringEnsemble2,13,0.00981132075471698
6,1325,SynthBass1,12,0.009056603773584904
6,1325,SynthBass2,19,0.014339622641509434
6,1325,SynthBrass1,9,0.006792452830188679
6,1325,SynthBrass2,12,0.009056603773584904
6,1325,SynthStrings1,16,0.012075471698113207
6,1325,SynthStrings2,13,0.00981132075471698
6,1325,SynthVoice,14,0.010566037735849056
6,1325,TenorSax,10,0.007547169811320755
6,1325,TremoloStrings,12,0.009056603773584904
6,1325,Trombone,15,0.011320754716981131
6,1325,Trumpet,14,0.010566037735849056
6,1325,Tuba,9,0.006792452830188679
6,1325,Vibraphone,17,0.012830188679245283
6,1325,Viola,20,0.01509433962264151
6,1325,Violin,20,0.01509433962264151
6,1325,VoiceOohs,11,0.00830188679245283
6,1325,Xylophone,18,0.013584905660377358
7,1325,AcousticBass,10,0.007547169811320755
7,1325,AcousticGrandPiano,11,0.00830188679245283
7,1325,AcousticGuitar(nylon),10,0.007547169811320755
7,1325,AcousticGuitar(steel),12,0.009056603773584904
7,1325,AltoSax,24,0.01811320754716981
7,1325,Bagpipe,21,0.015849056603773583
7,1325,Banjo,15,0.011320754716981131
7,1325,BaritoneSax,14,0.010566037735849056
7,1325,Bassoon,15,0.011320754716981131
7,1325,BlownBottle,11,0.00830188679245283
7,1325,BrassSection,16,0.012075471698113207
7,1325,BrightAcousticPiano,15,0.011320754716981131
7,1325,Cello,16,0.012075471698113207
7,1325,ChoirAahs,19,0.014339622641509434
7,1325,ChurchOrgan,13,0.00981132075471698
7,1325,Clarinet,14,0.010566037735849056
7,1325,Clavinet,12,0.009056603773584904
7,1325,Contrabass,15,0.011320754716981131
7,1325,DistortionGuitar,9,0.006792452830188679
7,1325,DrawbarOrgan,12,0.009056603773584904
7,1325,Dulcimer,14,0.010566037735849056
7,1325,ElectricBass(finger),6,0.004528301886792452
7,1325,ElectricBass(pick),20,0.01509433962264151
